BIRD-N|82.0,30.0 82.0,0.0 65.75,0.0 66.75,-10.0 66.75,-30.0 66.954,-31.0 68.25,-40.0 70.25,-50.0 70.5,-64.0 76.0,-76.0 78.0,-75.0 82.0,-60.0 90.0,-60.0 90.0,30.0 82.0,30.0
BIRD-S|61.0,-30.0 66.75,-30.0 66.75,-15.177 66.0,-14.0 63.823,-11.882 61.0,-10.0 61.0,-30.0
BIRD-W|61.0,-30.0 66.75,-30.0 66.954,-31.0 68.25,-40.0 70.25,-50.0 70.5,-64.0 65.0,-57.75 63.5,-55.667 63.5,-39.0 61.0,-30.0
CZEG|49.0,-110.0 49.006,-116.817 50.31,-117.35 50.531,-116.29 53.4,-119.0 56.0,-123.25 57.0,-132.083 59.567,-135.033 60.35,-139.183 62.0,-141.0 90.0,-141.0 90.0,-60.0 82.0,-60.0 78.0,-75.0 76.0,-76.0 70.5,-64.0 65.0,-57.75 65.0,-68.0 62.75,-80.0 53.467,-80.0 50.233,-85.208 51.333,-89.333 52.333,-95.0 52.783,-99.117 52.45,-101.0 53.0,-102.0 55.208,-107.657 54.767,-108.417 54.767,-108.692 54.527,-108.592 54.274,-108.596 54.029,-108.716 53.807,-108.937 53.551,-109.422 53.426,-110.001 49.0,-110.0
CZQM|43.583,-55.75 43.072,-57.868 42.382,-61.202 41.617,-67.0 44.933,-67.0 45.625,-67.775 45.783,-67.807 45.825,-67.583 46.143,-67.217 46.536,-67.3 46.645,-67.17 46.792,-67.074 46.942,-67.041 47.092,-67.065 47.233,-67.145 47.354,-67.277 47.449,-67.451 47.509,-67.656 47.529,-67.951 47.498,-68.169 47.398,-68.427 47.288,-68.567 47.39,-69.0 48.0,-69.0 48.161,-69.329 48.889,-69.5 49.188,-68.667 51.0,-68.667 52.82,-61.918 51.504,-59.757 50.522,-58.979 48.722,-57.704 45.612,-56.474 43.583,-55.75
CZQM|53.8,-55.0 53.0,-54.0 51.0,-50.0 44.5,-50.0 43.833,-54.861 43.583,-55.75 45.612,-56.474 48.722,-57.704 50.522,-58.979 51.504,-59.757 52.82,-61.918 51.0,-68.667 53.533,-68.667 55.333,-66.733 56.583,-65.25 57.55,-64.0 58.5,-63.0 64.0,-63.0 65.0,-60.0 65.0,-57.75 63.5,-55.667 63.5,-55.0 53.8,-55.0
CZQO|45.0,-30.0 45.0,-40.0 44.5,-40.0 44.5,-50.0 51.0,-50.0 53.0,-54.0 57.0,-59.0 58.471,-60.351 61.0,-63.0 64.0,-63.0 65.0,-60.0 65.0,-57.75 63.5,-55.667 63.5,-39.0 61.0,-30.0 45.0,-30.0
CZQO-GOTA|53.8,-55.0 57.0,-59.0 58.471,-60.351 61.0,-63.0 64.0,-63.0 65.0,-60.0 65.0,-57.75 63.5,-55.667 63.5,-55.0 53.8,-55.0
CZQX|53.8,-55.0 53.0,-54.0 51.0,-50.0 44.5,-50.0 43.833,-54.861 43.583,-55.75 45.612,-56.474 48.5,-62.0 49.3,-61.0 49.533,-61.0 50.833,-62.083 51.417,-64.0 52.176,-64.305 51.0,-68.667 53.533,-68.667 55.333,-66.733 56.583,-65.25 57.55,-64.0 58.5,-63.0 64.0,-63.0 65.0,-60.0 65.0,-57.75 63.5,-55.667 63.5,-55.0 53.8,-55.0
CZQX|43.583,-55.75 43.072,-57.868 42.382,-61.202 41.617,-67.0 44.933,-67.0 45.625,-67.775 45.783,-67.807 45.825,-67.583 46.143,-67.217 46.536,-67.3 46.645,-67.17 46.792,-67.074 46.942,-67.041 47.092,-67.065 47.233,-67.145 47.354,-67.277 47.449,-67.451 47.509,-67.656 47.529,-67.951 47.498,-68.169 47.398,-68.427 47.288,-68.567 47.39,-69.0 48.0,-69.0 48.161,-69.329 48.889,-69.5 49.188,-68.667 51.0,-68.667 52.176,-64.305 51.417,-64.0 50.833,-62.083 49.533,-61.0 49.3,-61.0 48.5,-62.0 45.612,-56.474 43.583,-55.75
